名稱,網址,電話,行政區,AreaCode,地址,介紹
"三福麵線","https://www.facebook.com/profile.php?id=100054638641811","0987875333","北區","10018020","竹光路214號","推薦菜色：蚵仔大腸麵線、三福麵線、牛肉麵線，乾淨衛生的環境、舒適自在的氛圍與道地台灣家鄉味，顛覆一般人對傳統小吃的刻板印象，「三福麵線」讓旅人留下深刻印記。在白色為基調的溫馨木質空間，聆聽輕鬆音樂，享受古早味小吃蚵仔大腸麵線，相當療癒，連鴨血、牛肉等食材，也都能加進麵線裡，這份驚豔，讓人發現庶民小吃：麵線的百搭特質。老闆娘在新北市三重長大，這座與繁華台北市僅一橋之隔，許多北上打拚外地人落腳的城市，匯聚眾多中南部引進的南方味小吃攤，麵線攤尤其多，「當時的三重，三兩步就一家麵線攤」，她從三輪車麵線攤吃起，記憶中那是早晚必嘗食物，嫁作新竹媳婦，卻遍尋不著家鄉的麵線味。2008年，老闆娘與友人合資創業，兩個餐飲業門外漢，選擇以成本較低的麵線入手，在城隍廟邊的小店開業，憑藉家庭主婦挑嘴的特質，找到家鄉麵線烹調最佳手法，2013年4月遷店竹光路，因為媒體報導，名氣大增，生意大好，即便下午才營業，主廚卻得清晨開始備料。三福麵線的湯頭色澤特別深，常有客人問為什麼？老闆娘笑笑說，因為「忠於記憶中的家鄉味」。原來，製作湯頭大有學問，老闆娘利用汆燙蚵仔的大鍋湯，加入獨門秘方熬煮而成，保留蚵仔麵線最甜美的原汁原味，絕不加味精，讓人吃得美味又安心。麵線的兩大配角是：蚵仔與大腸，食材的選擇、處理與烹調是大學問。鮮甜飽滿的海蚵，專程到南台灣尋找老字號的養蚵人家，保持海水浸泡宅配，烹煮前才開箱，保留大海天然的鹹甜香，大腸僅以白醬油加少許八角滷製，呈現食材原味。豬大腸的處理更講究，她選用品質保證、當日新鮮的豬大腸，先用大鍋沸水汆燙去血水，再徒手將每條大腸仔細翻面、剪除內層油脂再翻回來，之後用白醬油滷製去味、吹涼、分裝，這麼「厚工」費時，只為讓客人吃到沒有腥味、有著不油不膩嚼勁的豬大腸。麵線雖是庶民小吃，要煮得好吃需要功力。老闆娘說，三福曾被科學園區的工程師封為「麵線界的LV」，能得到這樣的評價，正是店家對自我品質的堅持。"
"老店薑母雞","https://www.facebook.com/profile.php?id=100064301010536","(03)5284895","北區","10018020","少年街51號","推薦菜色：招牌薑母雞、狀元雞，「婆婆做薑母烏骨雞幫我做月子、補身體，因緣際會成就了這家店。」女主人李小珍感性地說出婆媳間感人的互動。老店薑母雞民國92年創店，當初主打「烏骨雞」同業都不看好，認為悖離傳統，沒想到卻異軍突起，創造佳績。「其實，烏骨雞比鴨肉更適合女性，很多顧客都用我們的薑母雞做月子。」李小珍說。薑母雞主要材料是老薑和烏骨雞，老薑搗碎加入中藥材炒香，與炒過的烏骨雞肉做成主湯底，搭配客人點食的各式配料，湯頭愈煮愈甜，而薑的辛辣溶入湯底，增添口感，連老薑本身都變得好吃。店裡用的老薑來自南投縣，烏骨雞則是經檢驗認證的農場長期供應，店裡還張貼了所有材料產地證明，讓顧客吃得安心。目前店裡供應五種湯底：薑母雞、薑母鴨、首烏雞、淮蔘雞、狀元雞，前四種湯底都屬溫補鍋，新開發的狀元雞是養生鍋，以烏骨雞、鮑魚片、茶樹菇、羊肝菌菇等溫補食材為主，因菌菇類有豐富多醣體，適合四季吃或不想吃過燥補鍋、注重養生的顧客選用，所有湯底中，薑母雞點食率最高。李小珍也重視主鍋配料的選材，每天早上6、7點就到市場備料，「新鮮是第一原則」，絕不濫竽充數，也不以多元取勝，不適合補鍋湯底的配料如：茼蒿菜、麻糬燒等火鍋料，因口感不對，都不採用。至於搭配的麵線，則選用有四十餘年歷史的宏廣製麵廠生產的麵線，口感Q滑不軟爛，淋上自製蔥香油和少許豆腐乳沾醬，有獨特的香氣和口感，也是老店薑母雞必嘗的一味。"
"鴨肉許","","(03)5253290","北區","10018020","中正路212號","推薦菜色：鴨肉湯麵、炒鴨血、燻鴨肉，厚實的木砧板上不斷傳來剁鴨肉的低沉咚咚聲，暱稱「二姊」的許美惠剁鴨肉的手沒停過；從小到大，她跟在父親許文河身旁，看著父親剁鴨肉的身影長大。兩代人在鴨肉、砧板刀起刀落間忙碌著，一晃眼就是50年。靠著賣煙燻鴨肉，許文河養大一家人；出身彰化鹿港的他，在新竹最初賣的並非鴨肉，而是家鄉味麵線糊，十幾歲到台北餐廳當學徒，看著師傅烹煮鴨肉的歷程，累積鴨肉料理竅門，再調整口味，最後琢磨出一套煙燻鴨的方法，將煙燻過的鴨肉加到切仔麵裡，當他端出第一碗風味獨特的鴨肉麵時，讓客人驚豔，一炮打響名號，這麵也成了「鴨肉許」獨家招牌菜。熱情好客的許文河以自家姓取店名「鴨肉許」，從最初的推車擺攤，累積出一批死忠顧客，逐漸在新竹闖出名號，中正路開店後更成熱門商店，朋友送了他一塊匾，題名「日理萬鴨」，名副其實；如今「鴨肉許」擁有中正路、北門街與西大路3間店面，分由三個女兒打理，每天平均要賣上百隻鴨子，新竹在地人最愛光顧的，是二姊許美惠掌舵的中正路總店。煙燻鴨肉是「鴨肉許」的主角，衍生出鴨肉湯麵、炒鴨肉麵、鴨肉飯、炒鴨血等料理，煙燻鴨肉的好壞，決定了所有料理的口感；「鴨肉許」選用4∼4.5斤重的土番鴨，這樣大小的鴨肥瘦合宜，有足夠的油脂，皮厚質細，肉纖維不會太粗、太老；鴨隻洗淨、蒸熟後，放入加了甘草等20多種中藥材的滷湯裡浸泡入味，再以白糖煙燻上色增香，可口的煙燻鴨肉於焉完成。可別小看煙燻的每個步驟，正因為以炊蒸取代水煮、用浸泡方式入味，鴨肉肉汁不致流失，口感更顯溫潤，鮮度與甘甜度也大大提升，上菜前再淋灑一匙蒸鴨時收集的原汁，鮮美的味道如畫龍點睛，讓整盤煙燻鴨肉更增餘韻、悠長而濃郁。這樣有滋有味的煙燻鴨，讓人吃起來嘴巴、手指頭滿是煙燻香，鴨肉汁不經意地從嘴裡往指尖流淌，叫人忍不住貪戀地吸吮起來，此刻，「吮指回味」已不只是形容詞，活脫脫成了饕客們賞鴨的美味動詞呀！"
"西市汕頭館","","(03)5244430","北區","10018020","西安街70號","推薦菜色：火鍋、炒沙茶牛肉麵、祖傳特製沙茶醬、牛雜湯，從城隍廟口轉到廟旁的西門市場，沿著小巷弄往前走，不仔細找，或許就錯過這家屹立新竹近70年的老字號店家─「西市汕頭館」。從民國38年創立，至今已傳到第四代，店也擴展到3家。走進老店內，馬上聽到熱情招呼聲；雖然過了午餐時間，店內仍有客人，黃家四兄弟家族分工，人人在自己崗位上各司其職，確保品牌的誠信與價值。「西市汕頭館」黃家大哥黃沛峰說，因為父親是校長，從小教導兄弟們一定要和睦互助，不打架、不爭吵、不說髒話，偶而起爭執，也是就事論事，針對食材或營運策略做討論，因此能合作創業迄今，如今他的兒子也開始參與家族事業了。「遵古法」是汕頭館的經營原則，無論食材選擇、料理火候或湯頭，都有一定的堅持，也非全照食譜制式製作，而是以客為尊，依據不同客戶需求、順應潮流，調整口味，目標是永續經營。潮汕料理偏甜，汕頭館配合台灣人的口味做微調，減油、少辣、不加糖，其中，選用新鮮的非冷凍肉，搭配祖傳沙茶醬佐料，不論用在牛肉火鍋、炒沙茶牛肉麵或牛雜湯，都相當可口也是人氣聖品。黃家大哥說，牛肉火鍋的賞味口訣是「肉不離筷、鍋底三秒」，依此口訣，以雙刀法切出來的薄薄蝴蝶狀肉片，在熱湯中，會從鮮紅色轉為淡粉白，入口後，瞬間滿腔軟嫩感與鮮甜香氣。牛雜湯的牛肉選用黏附骨頭上的半筋半肉，加上自製檸檬和獨門香料，熬煮七小時，湯頭看似深濃，嘗來卻清爽，白蘿蔔和牛肉的甘甜融為一體，由於一天僅熬一鍋，是有緣人才嘗得到的私房料理。黃沛峰最享受烹煮菜餚的過程，因為全神貫注，心無旁騖，煩惱盡除；當料理端上桌、得到客人稱讚時，那份成就感，更是不凡！如果你是火鍋或牛肉料理愛好者，路過新竹城隍廟，不妨來西市汕頭館坐坐，嘗一口傳承超過一甲子的鮮滋味吧。"
"余家金城廣東粥","","(03)5277412","北區","10018020","水田街2號","推薦菜色：廣東粥、皮蛋瘦肉粥，在中正路與水田街轉角處，毫不起眼的「余家金城廣東粥」，外觀雖老舊，許多新竹人談到吃粥，多數會想到這家店，好味道讓嘗過的人，不自覺豎起大拇指說：讚！「余家金城廣東粥」開業20多年，老闆余健俊早年學習金門廣東粥的煮食秘訣，飲水思源，以金門縣金城鎮為名創業。金門廣東粥屬廣東「生滾粥」，將米粒煮到不見形體，跟台灣的清粥、鹹粥，粥體粒粒分明不一樣。余家廣東粥煮法是先煮一大鍋粥，顧客訂餐後，從大鍋搯出少量粥到小鍋猛火烹煮，依品項加入新鮮肉類、海鮮或動物內臟等主料，稍微煮開後即關火，「這動作是要保持粥內食材的新鮮度」他說，也確保饕客嘗到鮮嫩香滑粥品，這是生滾粥的特色，也成了余家廣東粥的特色。說到自家廣東粥好吃的秘訣，余健俊謙虛地說：沒甚麼啦！除了料好實在，不偷工減料，最重要是確保高湯鮮美！金城廣東粥的湯底有學問，以甘草、當歸、紅棗等多種中藥材，跟雞骨頭一起燉煮超過三小時，聞起來有淡淡中藥香卻不濃烈，雅而不淡，恰分地增添雞骨高湯的厚度與豐富性。湯底有了靈魂，還得用老米來煮，因為老米澱粉含量多，煮起來能產生更多黏性，此外，老米容易吸附高湯，吃起來自然更入味。獨門的中藥湯底，配上濃稠綿細的米粥與食材的鮮甜，口腔裡填滿了豐美的味道，熱呼呼的，身體都暖了起來。"
"北門炸粿","","(03)5220471","北區","10018020","城北街15號","推薦菜色：肉粿、蚵仔嗲、米糕、蒜頭，城北街的午後是熱鬧的，午茶時間，總開始有人聚湧在一家不起眼的老舊小攤前，短短百來公尺，長長的人龍不時消長，攤前難有清閒，這家店正是高人氣的「北門炸粿」。「北門炸粿」日治時期起家，第一代老闆翁老先生拜師學藝後，推著台車沿街叫賣，至今傳到第四代的翁文芬、陳美麗夫妻，已有百年歷史。說到這味超親民的庶民小吃，早年可是有錢人家才吃得起的高級食物！「北門炸粿」最初只賣肉粿、蚵仔嗲，106年前，豬肉、蚵仔是相當昂貴的食材，也只有上流貴族人家才消費得起；第一代老闆看準北門街上住的多是商賈、望族，選定北門街附近設攤開業。可貴的是，延續一世紀的老滋味，價格卻意外地維持半世紀前的親民，過去是10元，近幾年來物價高漲，老闆才不得已將原本一個銅板價，調漲到每樣12元，真是佛心來著！「北門炸粿」屹立不搖，沒被時代淘汰，憑藉的是紮實的用料與口耳相傳的好口味，店裡的各式炸物，吃起來口感酥脆如餅乾，明明是油炸物卻無油膩感，除了油炸時的火候、時間的精準控制外，外層裹粉上也費了心，選用在來米與黃豆一起磨成漿，才保有酥脆、不易濕軟的咀嚼口感。對於「炸粿」食材的選用，店家處處用心，保留古早味，米糕、芋頭糕全自家製作，不用現成或半成品，招牌炸米糕採用口感Q彈、清新米香的長糯米（秈糯）製作，將長糯米燜煮熟透後，加入二號砂糖調味拌攪均勻，置鐵盤放冰箱降溫定型，隔天拿出來切塊，冰過的米糕口感更Q彈；另一道獨門炸蒜頭，得手工挑選又粗又肥滿的顆粒，將粗的一端切段，再一刀刀切成花，下油炸時，自然開成一朵花！攤位小小的，價錢小小的，口味卻大大的好，走過時代的試煉，這小物成了新竹人從小到大的味覺記憶，也成了遠遊的新竹人，難以忘懷的鄉愁。"
"廟口鴨香飯","https://www.facebook.com/profile.php?id=100063589943815","(03)5231190","北區","10018020","中山路142號","推薦菜色：鴨香飯、燻鴨切盤、炒鴨血，2016年以一道鴨香飯入選「竹好呷」，深獲媒體推薦的「廟口鴨香飯」，以鮮明的媽媽Logo與獨門的全鴨料理，擄獲在地人及遠道而來的遊客的心，用餐時段經常一位難求。「小吃店的好味道、餐廳的服務品質」是廟口鴨香飯的經營目標。年輕的第二代李嘉偉談起鴨香飯緣起說，20多年前，媽媽從中山店現址起家，當時經營快炒攤，因緣際會認識一位老師傅，學會鴨肉料理。後來，媽媽在北門街擺攤賣鴨肉麵，因與市場區隔不大，生意不好；李嘉偉從小在店裡長大，每天正餐不外麵或米粉，媽媽偶而會用豬油拌飯給他吃，味道讓他懷念，建議媽媽改賣鴨肉飯，經多次調試口味，賣出口碑，也成就了今天的鴨香飯。店家每天約需處理100∼150隻生鴨，精選皮薄油脂少的新鮮鴨隻，清理乾淨後，全鴨蒸半個小時，稍微放涼，再技術性剖切，塗上一層秘傳醬汁，再加冰糖煙燻3分鐘，「短短3分鐘做兩次煙燻，考驗技術」，必須適時打開鍋蓋讓濃煙散去，去除多餘苦味，第二次燜燻是逼出鴨的香氣，鴨隻金黃色的表皮乍聞是煙燻香，一口咬下卻香嫩多汁，相當迷人。鴨肉的脂肪不同其他動物油，成分很像橄欖油，蒸鴨滴下的鴨油、肉汁湯液等，都是店裡製作醬汁、炒菜的聖品，煙燻過的鴨骨頭更是熬煮湯頭的重要提味精華。一隻鴨從頭到腳、從內到外，無一不能利用，除招牌鴨香飯外，店裡還有炒鴨血、炒鴨腸、炒下水（鴨心、鴨胗、鴨肝）、鴨肉切盤，濃郁香稠的高湯則來自煙燻鴨骨、鴨油等精華，讓顧客回味再三。"
"星巴克新竹州圖門市","","(03)5228587","東區","10018010","文化街8號","新竹州圖書館前身是「新竹街圖書館」，為了紀念1923年日本大正天皇東宮太子裕仁訪問新竹而籌款興建，1925年完成，改為「新竹州圖書館」，台灣光復後由新竹市政府接收，定名為新竹市立圖書館，後又改為「新竹縣立圖書館」作為圖書館使用，民國73年由新光集團取得產權。經過公、私協力保存文化資產的努力之下，109年9月修復完成後的新竹州圖重新開放，配合台灣設計展和110年台灣燈會，展開為期半年的策展活動，展覽結束後已交還新光集團做後續利用規劃。圖書館是一棟洋式建築物，外觀簡潔俐落，立面上的柱子以刻意加強裝飾的磚形條紋，讓建築物顯的穩重，上層則採退縮方式留出陽台，陽台上設計短的梭柱支撐屋樑，使得屋頂變得輕盈，更增添下層立面穩固的對比感。入口處突出的門廊空間，加寬的門柱與上層的中央雙柱，塑造強烈的入口意象。立面上強化的立體柱，配合開窗的虛實變化給人強烈的厚實感。星巴克「新竹州圖書館」門市112年3月30日正式營運，為桃竹苗區首間市定古蹟門市，亦是讓古蹟活化再利用的良好範例。"
"影咖啡","https://www.facebook.com/Inn.Coffee","","東區","10018010","金城一路67號","推薦菜色：金磚布丁、可麗露、手沖精品咖啡「影咖啡」主打攝影主題與手作甜點，店內每個角落都精心設計，處處可見攝影作品與相機及鏡頭造型的擺飾，極富人文氣息。店主彭枝微從小在新竹南寮長大，喜歡旅行與攝影，求學、就業都未曾離開過這片土地。在科學園區工作7、8年後，倦於一成不變的生活，毅然放下穩定的高薪，到澳洲打工度假兩年，再利用一個月時間走訪紐西蘭，以相機紀錄當地美麗風光，一方面思維未來發展方向。回台後，她做了決定，開設這家結合自己攝影興趣與理想的咖啡館，「所有裝潢、菜單，自己規劃設計。」加上分別是專業攝影師及飯店主廚的兩個弟弟協助，整家店的風格概念完整，餐點也具一定品質。為了創業，彭枝微從頭學習相關專業課程，並考取咖啡師國際證照；店裡除了提供義式濃縮咖啡為基底沖泡出來的各種花式咖啡，還有手沖精品咖啡，選用的咖啡豆，是向世界盃咖啡大師台灣區冠軍的達人簡嘉程採購，由她自己研磨、手沖，表現不同產地咖啡豆的個別風味。影咖啡的所有甜點，都搭配自製香草糖製作，每種甜點都帶有淡淡甜香的香草味，招牌甜品像：金磚布丁、可麗露、檸檬塔、季節水果塔、檸檬生乳酪蛋糕、起司條等，經常中午剛過就售罄。其中，獲選2016年竹好呷網路票選第一名伴手禮的金磚布丁，以類似鳳梨酥的酥皮，搭配雞蛋、牛奶、香草糖製作的內餡一起烘烤，人氣超旺；「我花費一年多時間試做、調整火侯才成功。」她說，用心做出來的成品，外皮金黃酥脆、布丁內餡又不過熟，出爐後還需冷凍定型一晚才能脫模，因為純手工製作，數量有限，訂單已排到兩、三個月之後。"
"新竹利利號","https://www.facebook.com/Lilihao.since1960/","(03)5227365","東區","10018010","中正路96巷6號","推薦菜色：原味肉鬆、芝麻肉鬆、厚薄片肉乾，出了巷口就是中正路，周邊大型連鎖餐飲美食店林立，蝸居「巷仔內」的利利號，門面不大，卻能屹立一甲子，獨到的美味，是市長林智堅的口袋美食之一，不少新竹人也已經吃了三代。「我現在有空還會自己走路去買兒子喜歡吃的肉鬆」林智堅說，這家老字號的肉品，都好吃。窄窄的門面，毫不起眼，進入店裡才發現縱深長，屋子前方是門市，擺滿各式肉乾、肉鬆、香腸、臘肉與火腿，香氣撲鼻；利利號目前由葉日棟、葉日傳兄弟經營，日棟負責業務行銷，日傳專注產品開發與品管，「我們71年從學徒做起」葉日傳回憶說，每天清晨4、5點就得到市場選購溫體豬肉，回家開始備料、搥肉、炒製各式肉品、調味、烘乾，每道步驟都遵循傳統，一點不馬虎。門市後方就是工廠，一座30多年歷史的傳統大灶上，擺著三口大鍋，所有肉鬆製品都在大鍋裡炒製，利利號肉品口味數十年不變，兄弟倆接手姨丈的店，堅持傳統做工，像肉鬆、肉脯是用龍眼木搥製，依肉品軟硬度一槌、一槌把纖維敲鬆，保持肉質彈性與肉汁的鮮味；肉乾分厚、薄兩種口感，也是人工一片片擺上烤架烘烤；煙燻臘肉、香腸則選用台灣杉含量較高的木屑粉，炭火燻製，產品多了道獨特燻香味，傳統做工不若機器快速，成本也高，兄弟倆認為，能換來顧客數十年來的信賴，一切都值了。因應國人健康與養生風尚，利利號的肉製品逐步朝少鹽、少糖、口味清淡化的方向走。利利號的核心技術，也吸引多家知名品牌大廠委託代工，兄弟倆商議後，不願讓機器取代手作的細緻與口感，僅提供熟客及優質廠商服務，「讓客人吃得健康美味，是利利號永遠不變的信念。」他們這麼堅持著。"
"艷麗PondokSunny","https://www.facebook.com/pondoksunny/","0965356956","東區","10018010","南大路52號","推薦菜色：千層糕、娘惹糕、南洋叻沙鍋，2015年9月開幕的「豔麗PondokSunny」，提供星馬、印尼的特色糕點與餐食，開店時間不長，已廣受在地食客好評。店名「Pondok」意指南洋島國常見的茅草小屋，熱情的南洋風格也表現在多彩的內部空間，牆面的手拓彩繪，到桌椅、燈罩的布樣，都是店主李依庭親手打造，各項擺飾是她多次與母親往返東南亞各地的收藏，營造了獨特而溫馨的用餐氛圍。「豔麗」的緣起來自店主的母親姚燕麗，她在印尼出生，父母是馬來西亞及新加坡華僑，這樣的家族背景，讓她對東南亞各地特色料理與文化相當熟悉，嫁來台灣近30年，懷念家鄉味，開始做起南洋點心，起初在新竹縣北埔擺攤，因女兒願意接手，才決定在香山開南洋風餐館。南洋糕點是「豔麗」的主打商品，口味多元的娘惹糕及千層糕，一蒸一烤，都是慢工出細活的好滋味，台灣人講究健康養生，老闆娘順意民情，捨棄傳統娘惹糕大量以人工色素增色的做法，改用竹炭、梔子等天然食材，與酒釀桂圓、地瓜融合，創新口味。店裡餐點道道都有好評，值得一提是「牛肉丸」，選用台南溫體黃牛肉，肉質鮮美，製作時加入牛筋，口感更Q彈；餐後可以來碗甜湯，大家熟知的南洋甜湯是摩摩喳喳，還可以嘗嘗「錢多錢多」的南洋香蘭米苔目，或是加入仙草、錢多、亞答子、西谷米的「南洋珍寶」，一碗就能嘗到多種配料。老闆娘自製的印尼蝦膏、辣椒、紅蔥頭等手工蝦醬，也具特色，少了市售蝦醬的濃重腥味，像糯米椒蝦拌醬、小魚蝦拌醬，用來佐餐、拌麵或爆炒時蔬，都很對味。"
"福源花生醬","","(03)5328118","東區","10018010","東大路一段155號","推薦菜色：花生醬（顆粒、滑順）、花生（角）塘、黑芝麻醬、白芝麻醬、花生醬夾心蔬菜餅，「福源花生醬」是台灣知名度最高的花生醬品牌，設立60年，純手工製造，不加一滴水，也無防腐劑，口感綿密、香氣濃郁，還吃得到顆粒，讓人百吃不厭。早年新竹的花生醬工廠多集中在東大路一帶，與此區位居交通樞鈕有關，形成獨特的花生醬製造聚落；福源花生醬堅持手作，也講究真材實料，逐漸打開知名度；不過，隨著時代進步，市場充斥各式機器量產的花生製品，純手工製造的花生醬工廠在利潤有限與人力不足情況下，紛紛轉行，唯福源挺立至今。「福源」原由一名山東漢子經營，因他的家人不願承接，當時經營花生批發的曾和昌，不捨這好味道消失，與妻子劉瑞英討論後，決定接手，他們全心投入，也專注品質的態度，讓福源品牌發光發亮，目前已由第二代曾俊強接棒。福源堅持選用彰化、雲林的九號花生，這品種的花生油脂多、香氣濃郁，專門用來榨油，也稱之為「油豆」；曾家人特別挑選其中顆粒粗大的花生米來作花生醬，此豆炒起來香氣四溢、口感溫潤。花生最怕不新鮮，為了防止儲存不當滋生黃麴毒素，只要一進貨，馬上放進冰庫保存，維持最佳品質。福源招牌花生醬，每天現做，絕不隔夜囤貨，每次得炒上150斤花生，製作時的溫度、火候是成敗關鍵，太焦會苦、太生又有豆青味，絲毫不得馬虎；由於百分之百使用花生原豆與白糖製成，不加一滴水或添加物，花生醬一開封，滿溢的花生香氣席捲五官，濃密馥郁，單吃或抹在吐司上都好吃，不僅口感綿密，還吃得到花生顆粒，是老饕與行家最愛。"
